Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,16.718,6632.582,217.521,5132,8.039
TransportBrain,17.674,6676.914,281.911,5129,8.102
TransportBrain,16.276,6718.579,256.990,5123,8.089
TransportBrain,15.957,6757.131,220.768,5134,8.065
TransportBrain,16.483,6797.290,231.029,5129,8.017
TransportBrain,16.557,6838.269,250.407,5122,8.023
TransportBrain,15.480,6877.236,237.988,5132,8.065
TransportBrain,15.773,6915.598,227.701,5121,8.066
TransportBrain,17.523,6955.821,222.879,5130,8.072
TransportBrain,17.741,7000.019,277.906,5150,8.086
TransportBrain,15.896,7040.025,245.622,5131,7.906
